timestamp,load_demand,generation_capacity,outage_count,outage_duration
2024-01-01 00:00:00,186.82,208.63,0,0.0
2024-01-01 01:00:00,195.15,222.64,0,0.0
2024-01-01 02:00:00,219.97,248.45,0,0.0
2024-01-01 03:00:00,244.41,270.12,0,0.0
2024-01-01 04:00:00,261.21,281.7,0,0.0
2024-01-01 05:00:00,260.07,292.57,0,0.0
2024-01-01 06:00:00,261.02,274.36,0,0.0
2024-01-01 07:00:00,237.68,256.86,0,0.0
2024-01-01 08:00:00,249.6,267.57,0,0.0
2024-01-01 09:00:00,229.02,243.21,0,0.0
2024-01-01 10:00:00,228.88,256.13,0,0.0
2024-01-01 11:00:00,195.37,212.97,0,0.0
2024-01-01 12:00:00,178.86,204.74,0,0.0
2024-01-01 13:00:00,166.66,176.3,0,0.0
2024-01-01 14:00:00,155.61,163.75,0,0.0
2024-01-01 15:00:00,118.2,134.24,0,0.0
2024-01-01 16:00:00,119.17,132.14,0,0.0
2024-01-01 17:00:00,119.09,133.62,0,0.0
2024-01-01 18:00:00,114.52,120.27,0,0.0
2024-01-01 19:00:00,79.54,86.23,0,0.0
2024-01-01 20:00:00,118.97,135.42,0,0.0
2024-01-01 21:00:00,137.37,156.31,0,0.0
2024-01-01 22:00:00,134.2,150.42,0,0.0
2024-01-01 23:00:00,161.13,175.18,0,0.0
2024-01-02 00:00:00,187.44,212.87,0,0.0
2024-01-02 01:00:00,194.65,169.47,1,2.014
2024-01-02 02:00:00,226.9,256.98,0,0.0
2024-01-02 03:00:00,251.39,270.09,0,0.0
2024-01-02 04:00:00,232.98,247.95,0,0.0
2024-01-02 05:00:00,271.8,286.07,0,0.0
2024-01-02 06:00:00,258.9,294.21,0,0.0
2024-01-02 07:00:00,270.33,298.84,0,0.0
2024-01-02 08:00:00,256.22,294.11,0,0.0
2024-01-02 09:00:00,220.31,238.01,0,0.0
2024-01-02 10:00:00,219.18,250.39,0,0.0
2024-01-02 11:00:00,207.74,223.33,0,0.0
2024-01-02 12:00:00,183.5,193.68,0,0.0
2024-01-02 13:00:00,167.52,148.15,1,1.55
2024-01-02 14:00:00,134.83,120.83,1,1.12
2024-01-02 15:00:00,117.96,134.15,0,0.0
2024-01-02 16:00:00,109.33,124.21,0,0.0
2024-01-02 17:00:00,127.81,144.27,0,0.0
2024-01-02 18:00:00,112.97,128.87,0,0.0
2024-01-02 19:00:00,108.77,120.19,0,0.0
2024-01-02 20:00:00,105.05,113.68,0,0.0
2024-01-02 21:00:00,123.34,137.33,0,0.0
2024-01-02 22:00:00,165.89,184.48,0,0.0
2024-01-02 23:00:00,144.42,157.03,0,0.0
2024-01-03 00:00:00,192.81,216.2,0,0.0
2024-01-03 01:00:00,196.89,225.29,0,0.0
2024-01-03 02:00:00,234.71,261.62,0,0.0
2024-01-03 03:00:00,238.62,250.95,0,0.0
2024-01-03 04:00:00,242.82,266.57,0,0.0
2024-01-03 05:00:00,240.9,273.54,0,0.0
2024-01-03 06:00:00,243.26,266.42,0,0.0
2024-01-03 07:00:00,252.72,275.75,0,0.0
2024-01-03 08:00:00,254.39,269.38,0,0.0
2024-01-03 09:00:00,232.94,248.26,0,0.0
2024-01-03 10:00:00,220.09,198.68,1,1.713
2024-01-03 11:00:00,198.36,216.6,0,0.0
2024-01-03 12:00:00,192.87,213.32,0,0.0
2024-01-03 13:00:00,166.8,185.43,0,0.0
2024-01-03 14:00:00,151.05,172.13,0,0.0
2024-01-03 15:00:00,123.51,132.1,0,0.0
2024-01-03 16:00:00,112.05,127.52,0,0.0
2024-01-03 17:00:00,113.55,129.48,0,0.0
2024-01-03 18:00:00,95.63,108.5,0,0.0
2024-01-03 19:00:00,103.27,89.41,1,1.109
2024-01-03 20:00:00,103.52,116.35,0,0.0
2024-01-03 21:00:00,127.42,143.52,0,0.0
2024-01-03 22:00:00,132.51,139.91,0,0.0
2024-01-03 23:00:00,165.56,189.32,0,0.0
2024-01-04 00:00:00,172.05,185.92,0,0.0
2024-01-04 01:00:00,191.37,205.01,0,0.0
2024-01-04 02:00:00,210.07,229.99,0,0.0
2024-01-04 03:00:00,216.35,237.55,0,0.0
2024-01-04 04:00:00,235.42,204.81,1,2.449
2024-01-04 05:00:00,266.2,281.83,0,0.0
2024-01-04 06:00:00,258.1,274.14,0,0.0
2024-01-04 07:00:00,248.27,276.48,0,0.0
2024-01-04 08:00:00,260.53,297.55,0,0.0
2024-01-04 09:00:00,251.91,280.13,0,0.0
2024-01-04 10:00:00,213.52,237.4,0,0.0
2024-01-04 11:00:00,200.89,224.24,0,0.0
2024-01-04 12:00:00,179.56,197.93,0,0.0
2024-01-04 13:00:00,154.96,172.7,0,0.0
2024-01-04 14:00:00,131.52,148.14,0,0.0
2024-01-04 15:00:00,116.47,126.62,0,0.0
2024-01-04 16:00:00,102.43,114.6,0,0.0
2024-01-04 17:00:00,116.6,133.36,0,0.0
2024-01-04 18:00:00,89.22,78.79,1,0.835
2024-01-04 19:00:00,110.87,118.19,0,0.0
2024-01-04 20:00:00,107.73,122.0,0,0.0
2024-01-04 21:00:00,115.84,125.19,0,0.0
2024-01-04 22:00:00,139.41,153.59,0,0.0
2024-01-04 23:00:00,169.87,193.61,0,0.0
2024-01-05 00:00:00,168.38,184.96,0,0.0
