timestamp,temperature,rainfall,humidity,wind_speed
01-01-2024 00:00,18.75,0.15,68.37,2
01-01-2024 01:00,17.92,0.06,58.37,8.37
01-01-2024 02:00,19.23,0,60.27,11.6
01-01-2024 03:00,20.68,0.01,70.82,10.48
01-01-2024 04:00,18.17,0.69,68.05,8.42
01-01-2024 05:00,18.3,0.4,66.37,7.02
01-01-2024 06:00,21.15,0,67.46,9.61
01-01-2024 07:00,20.07,0,69.2,6.05
01-01-2024 08:00,18.34,0,64.84,8.95
01-01-2024 09:00,19.99,0.11,63.73,9.01
01-01-2024 10:00,18.61,0.19,68.69,10.12
01-01-2024 11:00,18.74,0,62.9,13.52
01-01-2024 12:00,19.93,0,69.91,8.78
01-01-2024 13:00,16.83,0.22,59.43,6.98
01-01-2024 14:00,17.24,0.11,73.17,7.95
01-01-2024 15:00,19.11,0.01,70.46,4.46
01-01-2024 16:00,18.56,0.03,69.45,6.61
01-01-2024 17:00,20.68,0,73.16,7.18
01-01-2024 18:00,18.98,0,76.64,6.95
01-01-2024 19:00,18.35,0.02,73.46,8.3
01-01-2024 20:00,22.79,0.08,59.25,6.36
01-01-2024 21:00,20.38,0.26,62.12,10.24
01-01-2024 22:00,20.95,0.05,65.46,8
01-01-2024 23:00,18.83,0.14,68.78,7.98
02-01-2024 00:00,20.28,0,71.3,7.34
02-01-2024 01:00,21.39,0,65.14,8.31
02-01-2024 02:00,19.62,0,69.76,9.65
02-01-2024 03:00,22.03,0,65.11,6.27
02-01-2024 04:00,20.69,0.11,65.89,6.68
02-01-2024 05:00,21.27,0.81,61.97,7.39
02-01-2024 06:00,20.93,0,64.44,5.31
02-01-2024 07:00,24.73,0,62.35,6.36
02-01-2024 08:00,22.05,0.17,64.28,7.05
02-01-2024 09:00,20.61,0,74.48,9.75
02-01-2024 10:00,23.54,0.01,64.51,8.53
02-01-2024 11:00,20.6,0.11,82.46,8.39
02-01-2024 12:00,22.86,0.04,71.81,9.7
02-01-2024 13:00,19.72,0,70.31,7.73
02-01-2024 14:00,20.79,0,65.14,8.78
02-01-2024 15:00,23.19,0.16,72.97,7.79
02-01-2024 16:00,24.11,0.01,66.63,8.53
02-01-2024 17:00,23.38,0,70.16,6.83
02-01-2024 18:00,23.06,0.14,82.39,3.12
02-01-2024 19:00,22.89,0,69.14,7.73
02-01-2024 20:00,21.24,0.12,75.4,10.85
02-01-2024 21:00,22.48,0,66.17,9.85
02-01-2024 22:00,22.98,0.48,69.54,9.93
02-01-2024 23:00,25.36,0,78.6,10.47
03-01-2024 00:00,24.4,0,66.64,8.18
03-01-2024 01:00,21.35,0,78.86,8.39
03-01-2024 02:00,24.58,0,73.36,6.76
03-01-2024 03:00,23.62,0.27,67.03,7.37
03-01-2024 04:00,23.29,0.97,73.03,9.23
